Product,Price,Sold,Reviews,LazMall,Location,Reason,Confidence
"[NEW] POCO C71 3+64/4+128 โปรเซสเซอร์ Octa-Core ทรงพลัง｜หน้าจอ 6.88"" สุดสมจริง｜กล้องคู่ AI คมชัด 32MP",2099.0,103,2806,True,Samut Prakan,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.95
"Infinix SMART 9 64+3GB (เพิ่มแรมสูงสุด 6GB)  I 120Hz หน้าจอใหญ่ 6.7"" Punch-Hole I ชิปเซ็ต Helio G81 I ลำโพงคู่ 300% Ultra Volume",2639.0,56,1986,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.95
มือถือ รุ่น vivo Y20s RAM 8GB ROM 256GB จอ 6.51นิ้ว แบตเตอรี่ 5000 mAh มีสินค้าพร้อมส่ง แถมฟรีอุปกรณ์ครบชุด,2219.0,427,184,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.95
(NEW) Redmi A5 3G+64G / 4G+128G กล้องคู่ AI 32MP จอแสดงผล 6.88 นิ้ว แบตเตอรี่อายุการใช้งานยาวนานขนาดใหญ่ 5200mAh,2299.0,176,61,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.95
"(Ready to Ship, Free Delivery) New Model Samsung Galaxy A06 (4/64Gb) (4/128Gb) 1St Hand, Genuine, 1 Year Warranty from Thai Center.",2612.0,836,363,False,Loei,จำนวนการขายและรีวิวสูง,0.8
"Samsung Galaxy A07 4/64GB,128GB ฟรี Adapter 25W  มูลค่า 490 บาท",2885.0,23,4,True,Chachoengsao,"ร้านค้า Lazmall, จำนวนการขายปานกลาง",0.7
Oppo A5I (4/64Gb) 100% Genuine Original Device,2750.0,274,111,False,Nakhon Ratchasima,จำนวนการขายและรีวิวสูง,0.7
"สมาร์ทโฟน OPPO A78 5G RAM 12GB ROM 256GB Android 12 จอ6.56 นิ้ว แบตเตอรี่ 5,000mAh แถมฟรีอุปกรณ์ครบชุด",2499.0,79,30,False,Pathum Thani,จำนวนการขายและรีวิวปานกลาง,0.6
[Lazada Exclusive] OPPO A5 5G (4+128G) โทรศัพท์มือถือ ดีไซน์สวย ทนทาน กันน้ำ/กันฝุ่น IP65 MidiaTek Dimensity 6300 กล้อง 50MP ชาร์จไว 45W แบตเตอรี่ขนาดใหญ่ 6000 mAh รับประกัน 12 เดือน,5999.0,21,4,True,Samut Prakan,"ร้านค้า Lazmall, จำนวนการขายปานกลาง",0.6
[NEW] Xiaomi Redmi 15C 6+128 / 8+256 จอใหญ่ เต็มตา 6.9 นิ้ว ความละเอียด HD+ กล้องคมชัด 50MPพร้อม AI แบตอึดเต็มวัน 6000mA,3499.0,7,1,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายน้อยแต่มีรีวิว",0.55
